PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29126394","Prospective study of autism phenomenology and the behavioural phenotype of Phelan-McDermid syndrome: comparison to fragile X syndrome, Down syndrome and idiopathic autism spectrum disorder","Richards C, Powis L, Moss J, Stinton C, Nelson L, Oliver C.","J Neurodev Disord. 2017 Nov 10;9(1):37. doi: 10.1186/s11689-017-9217-6.","Richards C","J Neurodev Disord","2017","2017/11/12","PMC5681818","","10.1186/s11689-017-9217-6"
"30134148","Juvenile Shank3b deficient mice present with behavioral phenotype relevant to autism spectrum disorder","Balaan C, Corley MJ, Eulalio T, Leite-Ahyo K, Pang APS, Fang R, Khadka VS, Maunakea AK, Ward MA.","Behav Brain Res. 2019 Jan 1;356:137-147. doi: 10.1016/j.bbr.2018.08.005. Epub 2018 Aug 19.","Balaan C","Behav Brain Res","2019","2018/08/23","PMC6247805","NIHMS992967","10.1016/j.bbr.2018.08.005"
"29939863","SHANK3 variant as a cause of nonsyndromal autism in an 11-year-old boy and a review of published literature","Kanani F, Study D, Balasubramanian M.","Clin Dysmorphol. 2018 Oct;27(4):113-115. doi: 10.1097/MCD.0000000000000232.","Kanani F","Clin Dysmorphol","2018","2018/06/26","","","10.1097/MCD.0000000000000232"
"29760409","Histone deacetylase inhibitor MS-275 restores social and synaptic function in a Shank3-deficient mouse model of autism","Ma K, Qin L, Matas E, Duffney LJ, Liu A, Yan Z.","Neuropsychopharmacology. 2018 Jul;43(8):1779-1788. doi: 10.1038/s41386-018-0073-1.","Ma K","Neuropsychopharmacology","2018","2018/05/16","PMC6006368","","10.1038/s41386-018-0073-1"
"31807945","Mechanisms of Tactile Sensory Phenotypes in Autism: Current Understanding and Future Directions for Research","Schaffler MD, Middleton LJ, Abdus-Saboor I.","Curr Psychiatry Rep. 2019 Dec 5;21(12):134. doi: 10.1007/s11920-019-1122-0.","Schaffler MD","Curr Psychiatry Rep","2019","2019/12/07","PMC6900204","","10.1007/s11920-019-1122-0"
"28551752","Behavioural Phenotypes and Neural Circuit Dysfunctions in Mouse Models of Autism Spectrum Disorder","Ferhat AT, Halbedl S, Schmeisser MJ, Kas MJ, Bourgeron T, Ey E.","Adv Anat Embryol Cell Biol. 2017;224:85-101. doi: 10.1007/978-3-319-52498-6_5.","Ferhat AT","Adv Anat Embryol Cell Biol","2017","2017/05/29","","","10.1007/978-3-319-52498-6_5"
"27293187","Peripheral Mechanosensory Neuron Dysfunction Underlies Tactile and Behavioral Deficits in Mouse Models of ASDs","Orefice LL, Zimmerman AL, Chirila AM, Sleboda SJ, Head JP, Ginty DD.","Cell. 2016 Jul 14;166(2):299-313. doi: 10.1016/j.cell.2016.05.033. Epub 2016 Jun 9.","Orefice LL","Cell","2016","2016/06/14","PMC5567792","NIHMS787195","10.1016/j.cell.2016.05.033"
"18252227","Structural variation of chromosomes in autism spectrum disorder","Marshall CR, Noor A, Vincent JB, Lionel AC, Feuk L, Skaug J, Shago M, Moessner R, Pinto D, Ren Y, Thiruvahindrapduram B, Fiebig A, Schreiber S, Friedman J, Ketelaars CE, Vos YJ, Ficicioglu C, Kirkpatrick S, Nicolson R, Sloman L, Summers A, Gibbons CA, Teebi A, Chitayat D, Weksberg R, Thompson A, Vardy C, Crosbie V, Luscombe S, Baatjes R, Zwaigenbaum L, Roberts W, Fernandez B, Szatmari P, Scherer SW.","Am J Hum Genet. 2008 Feb;82(2):477-88. doi: 10.1016/j.ajhg.2007.12.009. Epub 2008 Jan 17.","Marshall CR","Am J Hum Genet","2008","2008/02/07","PMC2426913","","10.1016/j.ajhg.2007.12.009"
"30282698","GABA(A) receptor availability is not altered in adults with autism spectrum disorder or in mouse models","Horder J, Andersson M, Mendez MA, Singh N, Tangen Ä, Lundberg J, Gee A, Halldin C, Veronese M, Bölte S, Farde L, Sementa T, Cash D, Higgins K, Spain D, Turkheimer F, Mick I, Selvaraj S, Nutt DJ, Lingford-Hughes A, Howes OD, Murphy DG, Borg J.","Sci Transl Med. 2018 Oct 3;10(461):eaam8434. doi: 10.1126/scitranslmed.aam8434.","Horder J","Sci Transl Med","2018","2018/10/05","","","10.1126/scitranslmed.aam8434"
"26027926","Autism-like Deficits in Shank3-Deficient Mice Are Rescued by Targeting Actin Regulators","Duffney LJ, Zhong P, Wei J, Matas E, Cheng J, Qin L, Ma K, Dietz DM, Kajiwara Y, Buxbaum JD, Yan Z.","Cell Rep. 2015 Jun 9;11(9):1400-1413. doi: 10.1016/j.celrep.2015.04.064. Epub 2015 May 28.","Duffney LJ","Cell Rep","2015","2015/06/02","PMC4464902","NIHMS687990","10.1016/j.celrep.2015.04.064"
"27846046","Clinical and molecular characterization of three genomic rearrangements at chromosome 22q13.3 associated with autism spectrum disorder","Chen CH, Chen HI, Liao HM, Chen YJ, Fang JS, Lee KF, Gau SS.","Psychiatr Genet. 2017 Feb;27(1):23-33. doi: 10.1097/YPG.0000000000000151.","Chen CH","Psychiatr Genet","2017","2016/11/16","","","10.1097/YPG.0000000000000151"
"25646853","Whole genome sequencing reveals a de novo SHANK3 mutation in familial autism spectrum disorder","Nemirovsky SI, Córdoba M, Zaiat JJ, Completa SP, Vega PA, González-Morón D, Medina NM, Fabbro M, Romero S, Brun B, Revale S, Ogara MF, Pecci A, Marti M, Vazquez M, Turjanski A, Kauffman MA.","PLoS One. 2015 Feb 3;10(2):e0116358. doi: 10.1371/journal.pone.0116358. eCollection 2015.","Nemirovsky SI","PLoS One","2015","2015/02/04","PMC4315573","","10.1371/journal.pone.0116358"
"26847545","CLK2 inhibition ameliorates autistic features associated with SHANK3 deficiency","Bidinosti M, Botta P, Krüttner S, Proenca CC, Stoehr N, Bernhard M, Fruh I, Mueller M, Bonenfant D, Voshol H, Carbone W, Neal SJ, McTighe SM, Roma G, Dolmetsch RE, Porter JA, Caroni P, Bouwmeester T, Lüthi A, Galimberti I.","Science. 2016 Mar 11;351(6278):1199-203. doi: 10.1126/science.aad5487. Epub 2016 Feb 4.","Bidinosti M","Science","2016","2016/02/06","","","10.1126/science.aad5487"
"26733386","Monogenic mouse models of autism spectrum disorders: Common mechanisms and missing links","Hulbert SW, Jiang YH.","Neuroscience. 2016 May 3;321:3-23. doi: 10.1016/j.neuroscience.2015.12.040. Epub 2015 Dec 28.","Hulbert SW","Neuroscience","2016","2016/01/07","PMC4803542","NIHMS750790","10.1016/j.neuroscience.2015.12.040"
"27876814","A genome-wide investigation into parent-of-origin effects in autism spectrum disorder identifies previously associated genes including SHANK3","Connolly S, Anney R, Gallagher L, Heron EA.","Eur J Hum Genet. 2017 Feb;25(2):234-239. doi: 10.1038/ejhg.2016.153. Epub 2016 Nov 23.","Connolly S","Eur J Hum Genet","2017","2016/11/24","PMC5255953","","10.1038/ejhg.2016.153"
"26687841","Mice with Shank3 Mutations Associated with ASD and Schizophrenia Display Both Shared and Distinct Defects","Zhou Y, Kaiser T, Monteiro P, Zhang X, Van der Goes MS, Wang D, Barak B, Zeng M, Li C, Lu C, Wells M, Amaya A, Nguyen S, Lewis M, Sanjana N, Zhou Y, Zhang M, Zhang F, Fu Z, Feng G.","Neuron. 2016 Jan 6;89(1):147-62. doi: 10.1016/j.neuron.2015.11.023. Epub 2015 Dec 10.","Zhou Y","Neuron","2016","2015/12/22","PMC4754122","NIHMS745296","10.1016/j.neuron.2015.11.023"
"25882707","Two knockdown models of the autism genes SYNGAP1 and SHANK3 in zebrafish produce similar behavioral phenotypes associated with embryonic disruptions of brain morphogenesis","Kozol RA, Cukier HN, Zou B, Mayo V, De Rubeis S, Cai G, Griswold AJ, Whitehead PL, Haines JL, Gilbert JR, Cuccaro ML, Martin ER, Baker JD, Buxbaum JD, Pericak-Vance MA, Dallman JE.","Hum Mol Genet. 2015 Jul 15;24(14):4006-23. doi: 10.1093/hmg/ddv138. Epub 2015 Apr 16.","Kozol RA","Hum Mol Genet","2015","2015/04/18","PMC4476447","","10.1093/hmg/ddv138"
"31696658","Meta-Analyses Support Previous and Novel Autism Candidate Genes: Outcomes of an Unexplored Brazilian Cohort","da Silva Montenegro EM, Costa CS, Campos G, Scliar M, de Almeida TF, Zachi EC, Silva IMW, Chan AJS, Zarrei M, Lourenço NCV, Yamamoto GL, Scherer S, Passos-Bueno MR.","Autism Res. 2020 Feb;13(2):199-206. doi: 10.1002/aur.2238. Epub 2019 Nov 6.","da Silva Montenegro EM","Autism Res","2020","2019/11/08","","","10.1002/aur.2238"
"26559786","Altered Striatal Synaptic Function and Abnormal Behaviour in Shank3 Exon4-9 Deletion Mouse Model of Autism","Jaramillo TC, Speed HE, Xuan Z, Reimers JM, Liu S, Powell CM.","Autism Res. 2016 Mar;9(3):350-75. doi: 10.1002/aur.1529. Epub 2015 Nov 11.","Jaramillo TC","Autism Res","2016","2015/11/13","PMC4857590","NIHMS782402","10.1002/aur.1529"
"30329048","CRISPR/Cas9-mediated disruption of SHANK3 in monkey leads to drug-treatable autism-like symptoms","Tu Z, Zhao H, Li B, Yan S, Wang L, Tang Y, Li Z, Bai D, Li C, Lin Y, Li Y, Liu J, Xu H, Guo X, Jiang YH, Zhang YQ, Li XJ.","Hum Mol Genet. 2019 Feb 15;28(4):561-571. doi: 10.1093/hmg/ddy367.","Tu Z","Hum Mol Genet","2019","2018/10/18","PMC6489410","","10.1093/hmg/ddy367"
"28963042","Behavioral phenotypes and neurobiological mechanisms in the Shank1 mouse model for autism spectrum disorder: A translational perspective","Sungur AÖ, Schwarting RKW, Wöhr M.","Behav Brain Res. 2018 Oct 15;352:46-61. doi: 10.1016/j.bbr.2017.09.038. Epub 2017 Sep 28.","Sungur AÖ","Behav Brain Res","2018","2017/10/01","","","10.1016/j.bbr.2017.09.038"
"31254375","Identification of rare copy number variations reveals PJA2, APCS, SYNPO, and TAC1 as novel candidate genes in Autism Spectrum Disorders","Bitar T, Hleihel W, Marouillat S, Vonwill S, Vuillaume ML, Soufia M, Vourc'h P, Laumonnier F, Andres CR.","Mol Genet Genomic Med. 2019 Aug;7(8):e786. doi: 10.1002/mgg3.786. Epub 2019 Jun 29.","Bitar T","Mol Genet Genomic Med","2019","2019/06/30","PMC6687626","","10.1002/mgg3.786"
"27785461","Immature Neurons and Radial Glia, But Not Astrocytes or Microglia, Are Altered in Adult Cntnap2 and Shank3 Mice, Models of Autism","Cope EC, Briones BA, Brockett AT, Martinez S, Vigneron PA, Opendak M, Wang SS, Gould E.","eNeuro. 2016 Oct 17;3(5):ENEURO.0196-16.2016. doi: 10.1523/ENEURO.0196-16.2016. eCollection 2016 Sep-Oct.","Cope EC","eNeuro","2016","2016/10/28","PMC5066262","","10.1523/ENEURO.0196-16.2016"
"25131214","Phenotypic spectrum associated with PTCHD1 deletions and truncating mutations includes intellectual disability and autism spectrum disorder","Chaudhry A, Noor A, Degagne B, Baker K, Bok LA, Brady AF, Chitayat D, Chung BH, Cytrynbaum C, Dyment D, Filges I, Helm B, Hutchison HT, Jeng LJ, Laumonnier F, Marshall CR, Menzel M, Parkash S, Parker MJ; DDD Study, Raymond LF, Rideout AL, Roberts W, Rupps R, Schanze I, Schrander-Stumpel CT, Speevak MD, Stavropoulos DJ, Stevens SJ, Thomas ER, Toutain A, Vergano S, Weksberg R, Scherer SW, Vincent JB, Carter MT.","Clin Genet. 2015 Sep;88(3):224-33. doi: 10.1111/cge.12482. Epub 2014 Oct 14.","Chaudhry A","Clin Genet","2015","2014/08/19","","","10.1111/cge.12482"
"26036957","Behavioral and Neuroanatomical Phenotypes in Mouse Models of Autism","Ellegood J, Crawley JN.","Neurotherapeutics. 2015 Jul;12(3):521-33. doi: 10.1007/s13311-015-0360-z.","Ellegood J","Neurotherapeutics","2015","2015/06/04","PMC4489953","","10.1007/s13311-015-0360-z"
